stringName,english,italian,french,spanish
MAINMENU_buttonSinglePlayer,Singleplayer,Giocatore singolo,Un joueur,Un jugador
MAINMENU_buttonEditor,Editor,Editor,Éditeur,Editor
MAINMENU_buttonOptions,Options,Opzioni,Options,Opciones
MAINMENU_buttonQuit,Exit,Esci dal gioco,Sortir du jeu,Salir
SINGLEPLAYER_buttonStart,Start!,Avvia la partita!,Commencer le jeu!,Comenzar
SINGLEPLAYER_buttonExit,Back to menu,Menù principale,Menu principal,Menú principal
OPTIONS_buttonSave,Save and close,Salva e chiudi,Sauver et fermer,Guardar y cerrar
OPTIONS_LanguageText,Language,Lingua,Langue,Idioma
LANG_english,English,Inglese,Anglais,Inglés
LANG_italian,Italian,Italiano,Italien,Italiano
LANG_spanish,Spanish,Spagnolo,Espagnol,Español
LANG_french,French,Francese,Français,Francés
LANG_arabic,Arabic,Arabo,Arabe,Arabé
GAME_pauseMenuButtonQuit,Quit,Esci dalla partita,Sortir du jeu,Salir
GAME_pauseMenuButtonClose,Close,Chiudi il menù,Fermer le menu,Cerrar
EDITOR_File,File,File,Fichier,Archivo
EDITOR_Edit,Edit,Modifica,Éditer,Editar
EDITOR_Edit_UpdateNormals,Update Normals,Ricalcola Normali,Recalculer les normales,Actualizar Normales
EDITOR_Edit_Properties,Edit object properties,Modifica proprietà oggetto,Éditer propriétés de l'objet,Editar propiedades de objeto
EDITOR_Tools,Tools,Strumenti,Outils,Herramientas
EDITOR_Tools_AddObject,Toggle Add Object window,Attiva/Disattiva la finestra Aggiungi oggetto,Activer/Désactiver la fenêtre Ajouter un objet,Activar / Desactivar la ventana Agregar objeto
EDITOR_Tools_TerrainBrush,Toggle terrain brushes,Attiva/Disattiva i pennelli dei terreni,Activer/Désactiver les brosses de terrain,Activar / Desactivar pinceles de terreno
EDITOR_newScenario,Create new scenario,Crea nuovo scenario,Créer nouveau scénario,Crear nuevo escenario
EDITOR_newScenarioName,Choose a name (max 30 characters).,Scegli un nome (max 30 caratteri).,Choisir un nom (30 caractères maximum).,Elegir un nombre (máximo 30 caracteres).
EDITOR_openScenario,Open scenario,Apri uno scenario,Ouvrir a scénario,Abrir un escenario
EDITOR_saveAs,Save scenario as...,Salva scenario come...,Sauve scénario comme...,Guardar el escenario como...
EDITOR_addObject,Add object,Aggiungi oggetto,Ajouter objet,Añadir objeto
EDITOR_properties,Object properties,Proprietà dell'oggetto,Propriétés de l'objet,Propiedades del objeto
EDITOR_propertiesName,Object name:,Nome dell'oggetto:,Nom de l'objet,Nombre del objeto:
EDITOR_propertiesSettlement,Settlement name:,Nome dell'insediamento:,Nom de l'installation:,Nombre del asentamiento:
EDITOR_defaultMapName,Untitled,Senza titolo,Sans titre,Intitulado
EDITORTREE_buildings,Buildings,Strutture,Édifices,Edificios
EDITORTREE_units,Units,Unità,Unités,Unidades
EDITORTREE_decorations,Decorations,Decorazioni,Décorations,Decoraciones
EDITORTREE_egyptianstronghold,Egyptian stronghold,Fortezza egizia,Forteresse égyptienne,Fortaleza egipcia
EDITORTREE_romanstronghold,Roman stronghold,Fortezza romana,Forteresse romane,Fortaleza romana
EDITORTREE_outposts,Outposts,Avamposti,Avant-postes,Puesto de Avanzada
EDITORTREE_trees,Trees,Alberi,Arbres,Árboles
EDITORBRUSH_GRASS,Grass,Erba,Herbe,Hierba
EDITORBRUSH_GRASS_1,Grass 1,Erba 1,Herbe 1,Hierba 1
EDITORBRUSH_GRASS_2,Grass 2,Erba 2,Herbe 2,Hierba 2
EDITORBRUSH_GRASS_3,Grass 3,Erba 3,Herbe 3,Hierba 3
EDITORBRUSH_ROAD_1,Road 1,Strada 1,Route 1,Carretera 1
EDITORBRUSH_ROAD_2,Road 2,Strada 2,Route 2,Carretera 2
EDITORBRUSH_ROAD_3,Road 3,Strada 3,Route 3,Carretera 3
EDITORBRUSH_GROUND_1,Ground 1,Terra 1,Terre 1,Terreno 1
EDITORBRUSH_GROUND_2,Ground 2,Terra 2,Terre 2,Terreno 2
EDITORBRUSH_GROUND_3,Ground 3,Terra 3,Terre 3,Terreno 3
EDITORBRUSH_SAND_1,Sand 1,Sabbia 1,Sable 1,Arena 1
EDITOR_noSettlementsAround,"Unable to place the building at the selected point, as there are no nearby settlements.","Impossibile posizionare la struttura nel punto selezionato, poiché non vi sono insediamenti nelle vicinanze.","La structure ne peut pas être positionnée au point sélectionné, car il n'y a pas de installations à proximité.",--
EDITOR_impassablePoint,"Unable to place the building at the selected point, as it is a steep or inaccessible place, like the sea.","Impossibile posizionare la struttura nel punto selezionato, in quanto si tratta di un luogo scosceso o inaccessibile, come il mare.","La structure ne peut pas être positionnée au point sélectionné, comme c'est un endroit raide ou inaccessible, comme la mer.",--
